# File created by cgDoc/nif/afm/afm3d.m (matlab script)
# This file is included in afm3d.cmd which is used by the ogen script interfaceBump3d.cmd
# You should define the variable $degree to be the degree of the NURBS
# xScale=1.000000e+05 yScale=1.000000e+05 zScale=1.000000e+05
$xa=2.191780e+00; $xb=2.808220e+00; $ya=2.191780e+00; $yb=2.808220e+00; # horizonatal bounds
$zMin=-4.515180e-02; $zMax=2.100380e-02; # vertical bounds
64 64 $degree
2.250490e+00 2.221140e+00 -3.944482e-03
2.260270e+00 2.221140e+00 -4.241540e-03
2.270060e+00 2.221140e+00 -4.554960e-03
2.279840e+00 2.221140e+00 -4.869381e-03
2.289630e+00 2.221140e+00 -5.171163e-03
2.299410e+00 2.221140e+00 -5.449015e-03
2.309200e+00 2.221140e+00 -5.694211e-03
2.318980e+00 2.221140e+00 -5.900435e-03
2.328770e+00 2.221140e+00 -6.063397e-03
2.338550e+00 2.221140e+00 -6.180368e-03
2.348340e+00 2.221140e+00 -6.249826e-03
2.358120e+00 2.221140e+00 -6.271400e-03
2.367910e+00 2.221140e+00 -6.246280e-03
2.377690e+00 2.221140e+00 -6.178170e-03
2.387480e+00 2.221140e+00 -6.074614e-03
2.397260e+00 2.221140e+00 -5.947946e-03
2.407050e+00 2.221140e+00 -5.814516e-03
2.416830e+00 2.221140e+00 -5.691440e-03
2.426610e+00 2.221140e+00 -5.592309e-03
2.436400e+00 2.221140e+00 -5.524758e-03
2.446180e+00 2.221140e+00 -5.490786e-03
2.455970e+00 2.221140e+00 -5.487603e-03
2.465750e+00 2.221140e+00 -5.506977e-03
2.475540e+00 2.221140e+00 -5.534470e-03
2.485320e+00 2.221140e+00 -5.552096e-03
2.495110e+00 2.221140e+00 -5.545578e-03
2.504890e+00 2.221140e+00 -5.512409e-03
2.514680e+00 2.221140e+00 -5.464153e-03
2.524460e+00 2.221140e+00 -5.419309e-03
2.534250e+00 2.221140e+00 -5.390163e-03
2.544030e+00 2.221140e+00 -5.372955e-03
2.553820e+00 2.221140e+00 -5.350006e-03
2.563600e+00 2.221140e+00 -5.304235e-03
2.573390e+00 2.221140e+00 -5.236366e-03
2.583170e+00 2.221140e+00 -5.171802e-03
2.592950e+00 2.221140e+00 -5.151891e-03
2.602740e+00 2.221140e+00 -5.217120e-03
2.612520e+00 2.221140e+00 -5.395291e-03
2.622310e+00 2.221140e+00 -5.700661e-03
2.632090e+00 2.221140e+00 -6.139646e-03
2.641880e+00 2.221140e+00 -6.716063e-03
2.651660e+00 2.221140e+00 -7.433117e-03
2.661450e+00 2.221140e+00 -8.292911e-03
2.671230e+00 2.221140e+00 -9.294893e-03
2.681020e+00 2.221140e+00 -1.043402e-02
